CASFRI HEADER ID,JURISDICTION,OWNER TYPE,OWNER NAME,INVENTORY TYPE,INVENTORY VERSION,INVENTORY MANUALS,SOURCE DATA FORMAT,ACQUISITION DATE,DATA TRANSFER,RECEIVED FROM ,CONTACT INFO,DATA AVAILABILITY,REDISTRIBUTION  (derived product),PERMISSION,LICENSE AGREEMENTS,SOURCE DATA PHOTOYEAR,PHOTOYEAR START,PHOTOYEAR END,COVERAGE IMAGE,Name of the original dataset,COMMENT,ExportedSourceFiles  Pythonscript (v4),PHOTO_YR_FORMAT_Marc,Location_on_harddrive_Marc,CAS02,CAS03,CAS04,CAS05_initial,CAS05_temporal
NL_0001,NL,PROV_GOV ,Newfoundland/Labrador Department of Natural Resources,Forest Inventory,With Revisions,NL Data Dictionary,ESRI Coverage,8/12/2009,On a DVD,Scott Payne,"Scott Payne, Department of Natural Resources, P.O. Box 2006, Fortis Building, 4 Herald Avenue, Corner Brook, NL. A2H 6J8. Phone: (709) 637-2353. Fax: (709) 634-4378. E-mail: sepayne@gov.nl.ca",Direct contact,Redistribution for BEACON and BAM projects,RESTRICTED,NL agreement made by email conversation with Scott Payne,Independent shapefile provides by the province. Fetch at the polygon level by a spatial intersect,1978,2006,JPEG, lcovxxx (tiled by mapsheet),,Export_NL01_V4.py,SPATIAL_JOIN,FRIs/NL/SourceDataset/v.00.04,X,X,X,X,X
NS_0001,NS,PROV_GOV,Nova Scotia Department of Natural Resources,Forest Inventory,,Forest inventory manual,Shapefile,1/27/2012,Direct download,downloaded from: http://novascotia.ca/natr/forestry/gis/licence.asp?url=downloads.asp,"Data Distributor, P.O. Box 68 Truro, N.S. B2N 5B8. Telephone: 902-893-5655. Fax: 902-893-6102. E-Mail: turnerca@gov.ns.ca",Open access,Free with acknowledgment,UNRESTRICTED,License agreement,"Included in SIDS, field PHOTOYR",1988,2006,JPEG,NS_FRI.shp,Not used in CASFRI v4.,,,,X,X,,,X
NS_0002,NS,PROV_GOV ,Nova Scotia Department of Natural Resources,Forest Inventory,,,Geodatabase,10/17/2014,Direct download,download from  http://novascotia.ca/natr/forestry/gis/forest-inventory.asp,"Data Distributor, P.O. Box 68 Truro, N.S. B2N 5B8. Telephone: 902-893-5655. Fax: 902-893-6102. E-Mail: turnerca@gov.ns.ca",Open access,Free with acknowledgment,UNRESTRICTED,License agreement,"Included in SIDS, field PHOTOYR",1988,2008,,NS Forest Inventory(Cycle 2-3).gdb,,Export_NS01_V4.py,VALUE_PER_STAND,FRIs/NS/SourceDataset/v.00.04,,,X,,X
NS_0003,NS,,,,,,Shapefile,,,,,,,,,,,,,,,,VALUE_PER_STAND,FRIs/NS/SourceDataset/v.00.05,,,,X,X
NT_0001,NT,TERRITORY,"Government of Northwestern Territories, Environment and Natural Resources, Forest Managment Division",NWTFVI,3,FVI manual v3.0,Shapefile,3/18/2008,By email,email: Lisa Smith,"Lisa Smith, Inventory and Analysis Forester Forest Resources, Forest Management Division Department of Environment and Natural Resources Government of the NWT Box 4354, Lot 173 Hay River Reserve Hay River, NT  X0E 1G3. Tel: (867) 874-2009. Fax: (867) 874-6236. email: Lisa_Smith@gov.nt.ca",Direct contact,Needs direct agreement from the owner under point 4 of the license agreement,RESTRICTED,License agreement expire April 30th 2014,Photoyear given at the project level,1960,2003,JPEG,NT_FORCOV_update2003.shp,Not used in CASFRI v4.,,,,X,X,,,X
NT_0002,NT,TERRITORY,"Government of Northwestern Territories, Environment and Natural Resources, Forest Managment Division",NWTFVI,3,FVI manual v3.0,Geodatabase,3/6/2015,Datashare website,email: Kathleen Groenewegen,"Tom Lakusta, Manager, Forest Resources. Forest Management Division , Environment and Natural Resources. Government of the Northwest Territories. Box 4354, #173 Hay River Dene Reserve Hay River, NT X0E 1G3. Tel:  867-874-2009. E-mail:  tom_lakusta@gov.nt.ca",Direct contact,Needs direct agreement from the owner under point 4 of the license agreement,RESTRICTED,Not specified,Photoyear given at the project level in the Inventory_Extent layer,1960,2011,JPEG,NT_FORCOV.gdb,,NT01_V4.py,RELATIONAL_JOIN,FRIs/NT/SourceDataset/v.00.04/NT_FORCOV.gdb,,,X,X,X
ON_0001,ON,PROV_GOV,Ontario Ministry of Natural Resources,FRI-FIM,FIM1,FIM technical specifications,DB Access and shapefile,9/20/2009,On a DVD,email: Larry Watkins,Larry Watkins. Email: larry.watkins@ontario.ca,Adminitsration process,Needs direct agreement from the owner under point 9 of the license agreement (Intellectual property),RESTRICTED,License agreement not signed,"Included in SIDS, field YRUPD",1957,2009,JPEG,,The license is filled but not sign,ON01_V4.py,VALUE_PER_STAND,FRIs/ON/SourceDataset/v.00.03-v.00.04,X,X,X,,X
ON_0002,ON,PROV_GOV,,,FIM,,Geodatabase,"April 15,2018",Direct download,https://www.javacoeapp.lrc.gov.on.ca/geonetwork/srv/fr/metadata.show?id=1317&currTab=distribution,,,,,,"Included in SIDS, field YRSOURCE",,,,ON_FRI_forest.gdb,Not used in CASFRI v4,no script yet,VALUE_PER_STAND,FRIs/ON/SourceDataset/v5/ON_FRI_forest.gdb,,,,X,X
PC_0001,PC,FED_GOV (Prince Albert National Park),Park Canada,,,PANP Code interpretations,Coverage,9-Sep,Unknown,Jeff Wier, jeff.wier@pc.gc.ca,Direct contact,Unknown,Unknown,,Photoyear given at the inventory level,1968,1968,JPEG,fpoly,Came from the government of Saskatchewan,Export_PANP01_V4.py,GLOBAL_INVENTORY,FRIs/PC/SourceDataset/v.00.03-v.00.04/PANP,X,X,X,X,X
PC_0002,PC,FED_GOV (WoodBuffalo National Park),Park Canada,,,WBNPBiophysical dictionnary,Shapefile,4/21/2008,by email,email: Dawn Andrews," Dawn Andrews. Ecosystem Geomatic Technician. Southwestern NWT Field unit. Park Canada Box 750 - 149 McDougal Rd, Fort Smith, NWT, X0E 0P0. email: Dawn.Andrews@pc.gc.ca. Phone: 867 872-7936",Direct contact,Not specify,RESTRICTED,License agreement,Photoyear given at the inventory level,1975,1979,JPEG,WBNP_biophysical.shp,,Export_WBNP01_V4.py,GLOBAL_INVENTORY,FRIs/PC/SourceDataset/v.00.03-v.00.04/WBNP/WBNP_biophysical.shp,X,X,X,X,X
PE_0001,PE,PROV_GOV,"PEI Department of Environment, Energy & Forestry",FI,1990,PE Documentations,Shapefile,2/7/2012,Direct download,downloaded from: http://www.gov.pe.ca/gis/index.php3?number=77555&lang=E,"PEI Dept of Environment, Energy & Forestry, Forests, Fish & Wildlife Division, c/o Mary Lynn McCourt, GIS Supervisor, PO Box 2000, Charlottetown, PEI C1A 7N8, Canada. Phone: 902 569-7598 . FAX:902-368-4713. email:mlmccourt@gov.pe.ca",Open access,Needs direct agreement from the owner,RESTRICTED ,License agreement,Photoyear given at the inventory level,1990,1990,JPEG,1990_ForestInventory.shp,Historical data were also downloaded but not integrated in CASFRI,Export_PE01_V4.py,GLOBAL_INVENTORY,FRIs/PE/SourceDataset/v.00.03-v.00.04/1990_ForestInventory.shp,,X,X,X,X
QC_0001,QC,PROV_GOV,Ministère des Ressources Naturelles et de la Faune,TIE,3rd,Norme-cartographie-ecoforestiere 2009,Shapefile,6/26/2008,Download,"Transferred by Maxime Drouin, MRNF geomatic technologist","Jean-Pierre Saucier and Robert Jobidon. Direction des inventaires forestiers. Ministère des Ressources naturelles et de la Faune. 880 chemin Ste-Foy, Québec, Qc G1S 4X4. Phone (418) 627-8669 poste 4279. Email: jean.pierre.saucier@mrnf.gouv.qc.ca.  Robert.Jobidon@mrnf.gouv.qc.ca",Adminitsration process,Needs direct agreement from the owner,RESTRICTED,Expired. License agreement signed is with MRNF.,Independent shapefile provides by the province. Fetch at the mapsheet level by a join,1990,2001,JPEG,c08peefo.shp(tiled at the mapsheet level),Not used in CASFRI v4.,,,,X,X,,,X
QC_0002,QC,PROV_GOV,Ministère des Ressources Naturelles et de la Faune,TIE,4th,Normes de stratification ecoforestiere 2013,Geodatabase,1/23/2013,On a DVD,Stefano Biondo,Stefano Biondo. Spécialiste en ressources documentaires. Bibliothèque Sciendes humaines et sociales. Université  Laval. Phone: 418 656-2131 ext: 11591,Adminitsration process,Needs direct agreement from the owner,RESTRICTED,License agreement,Independent shapefile provides by the province. Fetch at the polygon level by a spatial intersect,1990,2009,JPEG,PEE_MAJ_PROV.gdb,This version is not yet in the CASFRI latest version (cas_v03). It will be implemented in v04,Export_QC4inv01_V4.py,SPATIAL_JOIN,FRIs/QC/SourceDataset/v.00.04,,,X,,X
QC_0003,QC,,,,,,Geodatabase,,,,,,,,,,,,,,,,SPATIAL_JOIN,FRIs/QC/SourceDataset/v.00.05/CARTE_ECO_MAJ_PROV_10.gdb,,,,X,X
SK_0001,SK,PROV_GOV,Saskatchewan Ministry of Environment,UTM,,SK UTM Data dictionary,Geodatabase,8/12/2009,by email,email: Xianhua Kong,"Xianhua Kong, A / Inventory Forester, Forest Service, Saskatchewan Ministry of Environment, PO Box 3003, PRINCE ALBERT SK S6V 6G1. Phone: 306-953-2458 . Fax. 306-953-2360. Email: xianhua.kong@gov.sk.ca",Direct contact,Redistribution for BEACON and BAM projects,RESTRICTED see comment, Agreement,"Included in SIDS, field SYR",1985,2001,JPEG,UTM.gdb,"Xianhua Kong asked us in his email ""SASK FVI request"" written in 2009-08-12 to keep the inventory for internal use only. No license has been sign.",Export_SFVI01_V4.py,VALUE_PER_STAND,FRIs/SK/SourceDataset/v.00.04/UTM/UTM.gbd,X,X,X,X,X
SK_0002,SK,PROV_GOV,Saskatchewan Ministry of Environment - Island Forest,SFVI,,SK UTM Data dictionary,Geodatabase,7/8/2014,Link to datasahre download,Thomas Gowen,"Thomas Gowen. Government of Saskatchewan, Resource Data Technician, Forest Service, Ministry of Environment. PO Box 3003, Prince Albert, Canada  S6V 6G1 . Phone: 306-953-2319",Direct contact,,,,"Included in SIDS in table FEATURE_METADATA, field: FEATURE_SOURCE_DATE",2004,2012,,SFVI_Island_Forest.gdb,,Export_SFVI01_V4.py,RELATIONAL_JOIN,FRIs/SK/SourceDataset/v.00.04/SFVI/SFVI_Island_Forest.gdb,,,X,X,X
SK_0003,SK,PROV_GOV,Saskatchewan Ministry of Environment - Meadow Lake provincial park,SFVI,,SK UTM Data dictionary,Geodatabase,7/8/2014,Link to datasahre download,Thomas Gowen,"Thomas Gowen. Government of Saskatchewan, Resource Data Technician, Forest Service, Ministry of Environment. PO Box 3003, Prince Albert, Canada  S6V 6G1 . Phone: 306-953-2319",Direct contact,,,,"Included in SIDS in table FEATURE_METADATA, field: FEATURE_SOURCE_DATE",2008,2008,,SFVI_Meadow_Lake_Provincial_Park.gdb,,Export_SFVI01_V4.py,RELATIONAL_JOIN,FRIs/SK/SourceDataset/v.00.04/SFVI/SFVI_Meadow_Lake_Provincial_Park.gdb,,,X,X,X
SK_0004,SK,INDUSTRY,FORSITE - PAFMA,SFVI,,SK UTM Data dictionary,Geodatabase,12/10/2014,FTP site,Shelley Desautels,Cam Browm. Email : cbrown@forsite.ca,Direct contact,Needs direct agreement from the owner,RESTRICTED,License Agreement,"Included in SIDS in table FEATURE_METADATA, field: FEATURE_SOURCE_DATE",1998,2005,,SFVI_PAFMA_PPFMA.gdb,,Export_SFVI01_V4.py,RELATIONAL_JOIN,FRIs/SK/SourceDataset/v.00.04/SFVI/SFVI_PAFMA_PPFMA.gdb,,,X,X,X
SK_0005,SK,INDUSTRY,FORSITE - WEYCO,SFVI,,SK UTM Data dictionary,Geodatabase,12/10/2014,FTP site,Shelley Desautels,Cam Browm. Email : cbrown@forsite.ca,Direct contact,Needs direct agreement from the owner,RESTRICTED,License Agreement,"Included in SIDS in table FEATURE_METADATA, field: FEATURE_SOURCE_DATE",1998,2004,,SFVI_WEYCO_PAFMA.gdb,,Export_SFVI01_V4.py,RELATIONAL_JOIN,FRIs/SK/SourceDataset/v.00.04/SFVI/SFVI_WEYCO_PAFMA.gdb,,,X,X,X
SK_0006,SK,INDUSTRY,Mistic Management LTD,SFVI,,,Geodatabase,3/16/2015,by email ,Steve Reed,"Al Balisky, General Manager. Tel: (306) 236-9708. Email: al.balisky@mistik.ca",Direct contact,Needs direct agreement from the owner,RESTRICTED,License Agreement,See email,1994,2005,,MistikSFVI.gdb,"Name of the column have been change, but the data follow SFVI standard",Export_SFVImistik01_V4.py,RELATIONAL_JOIN,FRIs/SK/SourceDataset/v.00.04/SFVI/MistikSFVI.gdb,,,X,X,X
YT_0001,YT,TERRITORY,"Governement of Yukon, Energy, Mines and Resources department",YVI,2.1,Yukon Veg Inventory Manual,Shapefile,4/18/2008,FTP site ( ftp://ftp.sbf.ulaval.ca),John Wright, JohnG.Wright@gov.yk.ca,Direct contact,Redistribution for BEACON and BAM projects,RESTRICTED,Agreeement,Included in SIDS,1999,2004,JPEG,,Not used in CASFRI v4.,,,,X,X,,,X
YT_0002,YT,TERRITORY,"Governement of Yukon, Energy, Mines and Resources department",YVI,2.1,Yukon Veg Inventory Manual,Geodatabase,7/11/2014,Direct download,downloaded from: http://www.geomaticsyukon.ca/data,Sue Deforest. GIS: Forest Management Branch. Yukon Government. Phone: 867.633.7919,Open access,Free with acknowledgment,UNRESTRICTED,,"Included in SIDS, field REF_YEAR",1968,2007,,YukonVegInventory.gdb,,Export_YTgov_V4.py,VALUE_PER_STAND,FRIs/YT/SourceDataset/v.00.04/YukonVegInventory.gdb,,,X,X,X
